# Русский = Карачаевский
двадцать = джыйырма
тридцать = отуз
сорок = къыркъ
пятьдесят = элли
сто = джюз
тысяча = минг

# Глаголы
идти = бармакъ
бежать = чабыргъа
стоять = турмакъ
сидеть = олтурмакъ
лежать = джатмакъ
спать = уйукъларгъа
есть = ашаргъа
пить = ичергъа
говорить = айтмакъ
слушать = тынгыларгъа
смотреть = кёрюрге
знать = билирге
понимать = тюшюнчюк
любить = сюерге
работать = ишлерге
читать = окъургъа
писать = джазаргъа
давать = берирге
брать = алыргъа
купить = сатын алмакъ
продавать = сатаргъа
открывать = ачаргъа
закрывать = джабаргъа
начинать = башларгъа
кончать = бошаргъа
жить = джашамакъ
умирать = ёлюрге
рождаться = тууаргъа
учиться = окъургъа
учить = окъутургъа

# Прилагательные
хороший = игы
плохой = жаман
большой = уллу
маленький = гитче
новый = джангы
старый = эски
молодой = джаш
сильный = кючлю
слабый = алсыз
горячий = ыссы
холодный = соуукъ
быстрый = тез
медленный = аста
дорогой = бахалы
дешёвый = арзан
трудный = къыйын
лёгкий = жеңил
красивый = сулуу
уродливый = суукъ
чистый = таза
грязный = кирли
умный = акъыллы
глупый = акъылсыз
весёлый = кёклю
грустный = къайгъылы
богатый = бай
бедный = жарлы

# Наречия
очень = абдан
много = кёп
мало = аз
быстро = тез
медленно = аста
хорошо = яхшы
плохо = жаман
вверху = ёзенде
внизу = тюбюнде
впереди = аллында
сзади = артында
близко = джууукъ
далеко = алыс
внутри = ичинде
снаружи = тышында
сейчас = шимди
потом = сонра
всегда = дайыма
никогда = хеч заман
иногда = кёбюсюне
иногда = кээде
доброе утро = хош эртенден
добрый день = хош кюнден
добрый вечер = хош кечден
спокойной ночи = хош тюнден
как дела? = къалайса?
спасибо = сау бол
пожалуйста = хош
извините = кечиригиз
# Эмоции и чувства
радость = къууанч
грусть = къайгъы
любовь = сююмлюк
ненависть = жек кёрюлюк
страх = къоркъуу
удивление = таңыу
стыд = уят
гордость = махтанчлыкъ

### Профессии и занятия
1. учитель = окъутуучу  
2. повар = ашчы  
3. пастух = къойчу  
4. рыбак = балыкъчы  
5. строитель = къуруучу  

### Техника и инструменты
6. гаджет = гаджет  
7. кабель = кабель  
8. розетка = розетка  
9. кнопка = тюйме  
10. экран = экран  

### Эмоции и состояния
11. удивление = таңыу  
12. страх = къоркъуу  
13. гордость = махтанчлыкъ  
14. стыд = уят  
15. волнение = джюрюш  

### Природа
16. рассвет = таң  
17. закат = кюн батуу  
18. туман = туман  
19. роса = джангур  
20. гроза = къарыу  

### Еда и напитки
21. варенье = джем  
22. холодец = къашыкъ аш  
23. макароны = макарон  
24. компот = компот  
25. морс = морс  

### Дом и быт
26. ковёр = килем  
27. зеркало = кюзгю  
28. шторы = перде  
29. ковш = чомуч  
30. духовка = духовка  

### Одежда
31. жилет = жилет  
32. шарф = шарф  
33. перчатки = колчакъ  
34. зонт = ямырлыкъ  
35. носки = чорап  

### Транспорт
36. велосипед = велосипед  
37. лодка = къайыкъ  
38. мотоцикл = мотоцикл  
39. трамвай = трамвай  
40. электричка = электричка  

### Наука и образование
41. лаборатория = лаборатория  
42. эксперимент = эксперимент  
43. гипотеза = гипотеза  
44. теория = теория  
45. практика = практика  

### Спорт и игры
46. мяч = топ  
47. скакалка = секкиргеч  
48. шахматы = шахмат  
49. домино = домино  
50. карты = карта  
# Профессии
учитель = окъутуучу
врач = врач
инженер = инженер
повар = ашчы
фермер = фермер
строитель = къуруучу
водитель = айдоочу
продавец = сатуучу
полицейский = милиционер
пожарный = от сёндюрюучю

# Школа и образование
учебник = окъуу китап
тетрадь = дефтер
карандаш = къалам
ластик = өчюргюч
доска = такъта
мел = бор
урок = сабакъ
перемена = ара
экзамен = экзамен
диплом = диплом

# Технологии
компьютер = компьютер
телефон = телефон
интернет = интернет
телевизор = телевизор
фотоаппарат = фотоаппарат
наушники = наушник
батарейка = батарейка
камера = камера
микрофон = микрофон
динамик = динамик

# Кухонная утварь
сковорода = таба
кастрюля = кастрюль
чайник = чайник
ковш = чомуч
духовка = духовка
холодильник = тоңдургъуч
миксер = миксер
ножницы = къайчы
разделочная доска = кесюучю такъта
половник = чомуч

# Спорт
футбол = футбол
баскетбол = баскетбол
волейбол = волейбол
плавание = джууу
бег = чабыу
прыжки = секириу
гимнастика = гимнастика
бокс = бокс
шахматы = шахмат
мяч = топ

# Музыка
песня = джыр
музыка = музыка
гитара = гитара
пианино = пианино
барабан = барабан
скрипка = скрипка
флейта = флейта
концерт = концерт
певец = джырчы
оркестр = оркестр

# Природные явления
гроза = къарыу
молния = чагъын
радуга = эмеген
туман = туман
роса = джангур
град = борош
землетрясение = джер титиреу
наводнение = суу басуу
засуха = къуруу
буря = бораган

# Действия
бегать = чабыргъа
прыгать = секирирге
плавать = джууаргъа
нырять = чуммакъ
ловить = тутаргъа
бросать = ташларгъа
поднимать = кётёрюрге
опускать = тюшюрюрге
толкать = итерге
тянуть = тартаргъа

# Состояния
здоровый = сау
больной = ауруу
сытый = тойгъан
голодный = ач
уставший = чалгъан
бодрый = серги
спящий = уйукълагъан
проснувшийся = оянгъан
весёлый = кёклю
грустный = къайгъылы

# Формы и фигуры
круг = тегерек
квадрат = тёрт бурч
треугольник = юч бурч
прямоугольник = тик бурч
овал = овал
линия = сызыкъ
точка = нохта
угол = бурч
поверхность = бет
объём = кёлем

# Материалы
дерево = терек
металл = металл
стекло = айне
пластик = пластик
резина = резина
бумага = къагъыт
ткань = кез
кожа = тери
камень = таш
кирпич = керипч

# Инструменты
молоток = балгъа
пила = бычакъ
отвёртка = отвёртка
гаечный ключ = гаечный ключ
плоскогубцы = къысгъыч
дрель = дрель
топор = балта
лопата = кюрек
грабли = тырма
ножовка = бычакъ

# Городские объекты
банк = банк
аптека = аптека
отель = отель
ресторан = ресторан
кафе = кафе
кинотеатр = кинотеатр
театр = театр
библиотека = библиотека
музей = музей
стадион = стадион

# Времена года
весна = джаз
лето = джай
осень = кюз
зима = къыш

# Погода
солнечно = кюнлю
пасмурно = булутлу
дождливо = джангурлу
ветрено = джелли
холодно = соуукъ
тепло = жылы
жарко = ыссы
сухо = къуру
влажно = ным
мороз = аяз

# Части суток
рассвет = таң
полдень = кюн орта
закат = кюн батуу
полночь = тюн орта
сумерки = алгъа
игла = игна  
нитка = жип  
подушка = ястыкъ  
одеяло = юргъан  
полотенце = аякъ къол  
мыло = сабын  
щётка = чотка  
ведро = челек  
метла = сыпыргъыч  
ковёр = килем  
рассвет = таң  
закат = кюн батуу  
туча = булут  
гром = къарыу  
роса = джангур  
волна = толкъун  
пустыня = чёл  
болото = батча  
водопад = шаркъуу  
пещера = орукъ  
яйцо = жумуртха  
мука = ун  
макароны = макарон  
холодец = къашыкъ аш  
варенье = джем  
огурец = огурчун  
помидор = помидор  
картофель = картоп  
капуста = къырын  
перец = бурч  
смеяться = кюлюрге  
плакать = джыларгъа  
думать = ойларгъа  
ждать = кютюрге  
помогать = болушургъа  
мешать = бузургъа  
чинить = тизерге  
резать = кесерге  
шить = тикирге  
варить = къайнаргъа  
мягкий = юмшакъ  
твёрдый = къатъы  
острый = миз  
тупой = тюпсюз  
влажный = нымлы  
сухой = къуру  
гладкий = тегиз  
шершавый = къырмауукъ  
прямой = тюз  
кривой = ийри  
вместе = бирге  
отдельно = айры  
вперёд = алгъа  
назад = артха  
вправо = онггъа  
влево = солгъа  
внутрь = ичге  
наружу = тышха  
возможно = боллукъ  
невозможно = болмаз  
Как тебя зовут? = Атынг ким?  
Меня зовут... = Мени атым...  
Где туалет? = Ауз юй къайда?  
Сколько стоит? = Неча тутул?  
Я не понимаю = Мен тюшюнмейме  
Повторите, пожалуйста = Текрар этигиз
Мне нужна помощь = Ма болушукъ керек  
Я голоден = Мен ачман  
Я хочу пить = Мен суусадым  
До свидания = Хош болугъуз
больница = больница  
врач = врач  
медсестра = медсестра  
пациент = пациент  
лекарство = дары  
таблетка = таблетка  
укол = инъекция  
рана = джара  
температура = температура  
давление = басым  
сердце = джюрек  
кровь = къан  
кость = сёек  
мозг = мий  
нерв = нерв  
операция = операция  
бинт = бинт  
шприц = шприц  
рентген = рентген  
аптека = аптека    
компьютер = компьютер  
телефон = телефон  
телевизор = телевизор  
наушники = наушник  
камера = камера  
микрофон = микрофон  
динамик = динамик  
батарейка = батарейка  
провод = провод  
розетка = розетка  
винт = винт  
гайка = гайка  
молоток = балгъа  
отвёртка = отвёртка  
дрель = дрель  
пила = бычакъ  
сварка = сварка  
двигатель = двигатель  
топливо = отун  
аккумулятор = аккумулятор  
трактор = трактор  
комбайн = комбайн  
плуг = плуг  
борона = борона  
сеялка = сеялка  
косилка = косилка  
пресс-подборщик = пресс-подборщик  
опрыскиватель = опрыскиватель  
культиватор = культиватор  
зерно = бидай  
сенокосилка = чабыргъыч  
удобрение = гъубатыр  
пестициды = пестицидле  
орошение = сууартдырыу  
урожай = тирим  
поле = тала  
ферма = ферма  
сарай = къора  
корм = корм  
посев = сев
сенокос = чабыу  
жатва = орукъ  
плуг = сабан  
борона = тырма  
серп = орукъ  
вилы = чалгъы  
грабли = тырма  
молотилка = урукъ  
веялка = елгич  
силос = силос  
комбикорм = къош аш  
навоз = тезек  
удобрение = гъубатыр  
полив = сууартдырыу  
парник = жылы юй  
тракторист = тракторчу  
пастух = къойчу  
чабан = чабан  
подкова = нал  
ярмо = боғана
бинт = бинт  
шприц = шприц  
градусник = температур  
йод = йод  
зелёнка = яшил  
вата = вата  
гипс = гипс  
костыль = таякъ  
инвалидная коляска = инвалид арба
дезинфекция = дезинфекция  
эпидемия = ауруу тарау  
вакцина = вакцина  
антибиотик = антибиотик  
анестезия = анестезия  
шов = тигиу  
переливание крови = къан ауушдуруу  
рентген = рентген  
УЗИ = УЗИ  
кардиограмма = кардиограмма  
гипертония = къан басым  
аллергия = аллергия
дрель = дрель  
паяльник = паяльник  
отвёртка = отвёртка  
гаечный ключ = гаечный ключ  
плоскогубцы = къысгъыч  
напильник = эгеч  
рулетка = рулетка  
уровень = уровень  
перфоратор = перфоратор  
болгарка = болгарка  
компрессор = компрессор  
генератор = генератор  
трансформатор = трансформатор  
микросхема = микросхема  
процессор = процессор  
жёсткий диск = къатъы диск  
винчестер = винчесте��  
роутер = роутер  
модем = модем  
антенна = антенна  
динамо-машина = динамо
водопад = шаркъуу  
ущелье = къол  
скала = къая  
пещера = орукъ  
гейзер = гейзер  
вулкан = вулкан  
тайфун = тайфун  
цунами = цунами  
лавина = къар къууу  
сель = сел  
болото = мырды  
оазис = оазис  
дюна = дюна  
бархан = бархан  
лесополоса = орман тизлик  
заповедник = заповедник  
заказник = заказник  
национальный парк = миллет парк  
экосистема = экосистема  
биосфера = биосфера  
ноосфера = ноосфера
мацони = гатыкъ  
айран = айран  
курзе = хычин  
хычин = хычин  
чучук = чучук  
шашлык = шашлык  
люля-кебаб = люля-кебаб  
плов = аш  
халва = халва  
пахлава = пахлава  
чёрный перец = къара бурч  
красный перец = къызыл бурч  
лавровый лист = лавр джапыракъ  
корица = дарчын  
гвоздика = гвоздика  
имбирь = имбирь  
шафран = шафран  
ваниль = ваниль  
мускатный орех = мускат  
кардамон = кардамон
мечеть = мечит  
мулла = мулла  
имам = имам  
хаджи = хаджи  
намаз = намаз  
ураза = ораза  
курбан-байрам = курман  
мавлид = маулид  
дуа = догу  
талисман = тумар  
оберег = къоругъа  
тотем = тотем  
обычай = адет  
традиция = салт  
гостеприимство = къонакъчылыкъ  
куначество = къунакълыкъ  
побратимство = къарнашлыкъ  
кровная месть = къанлы уруш  
примирение = атыш  
благословение = алгъыш
сабля = къылыч  
кинжал = ханжар  
лук = жаа  
стрела = окъ  
кольчуга = къалчан  
шлем = ��исюрке  
щит = къалкан  
порох = барт  
ружьё = мылтыкъ  
пистолет = тапанча  
пуля = окъ  
патрон = патрон  
граната = граната  
мина = мина  
танк = танк  
бронетранспортёр = БТР  
вертолёт = вертолёт  
десант = десант  
разведка = разведка  
партизан = партизан
гармонь = гармун  
баян = баян  
скрипка = скрипка  
гитара = гитара  
барабан = барабан  
бубен = даппу  
свирель = свирель  
жалейка = жалейка  
хоровод = хоровод  
лезгинка = лезгинка  
сказитель = жырчы  
сказка = эпос  
легенда = легенда  
предание = сагъыш  
орнамент = орнамент  
узор = накъыш  
вышивка = тикме  
ковроткачество = килемчилик  
резьба по дереву = терек оюу  
чеканка = чеканка
университет = университет  
институт = институт  
академия = академия  
лаборатория = лаборатория  
эксперимент = эксперимент  
гипотеза = гипотеза  
теория = теория  
практика = практика  
лекция = лекция  
семинар = семинар  
диссертация = диссертация  
учёная степень = илий даража  
профессор = профессор  
доцент = доцент  
аспирант = аспирант  
студент = студент  
школьник = школьник  
учебник = окъуу китап  
тетрадь = дефтер  
мел = бор
футбол = футбол  
баскетбол = баскетбол  
волейбол = волейбол  
хоккей = хоккей  
шахматы = шахмат  
шашки = шашка  
борьба = кюреш  
дзюдо = дзюдо  
карате = карате  
бокс = бокс  
бег = чабыу  
прыжки = секириу  
метание = атма  
плавание = джууу  
лыжи = лыжа  
коньки = коньки  
велосипед = велосипед  
альпинизм = альпинизм  
скалолазание = къаячылыкъ  
парашютный спорт = парашют спорт
автомобиль = автомобиль  
автобус = автобус  
троллейбус = троллейбус  
трамвай = трамвай  
метро = метро  
поезд = поезд  
электричка = электричка  
самолёт = самолёт  
вертолёт = вертолёт  
корабль = кеме  
лодка = къайыкъ  
паром = паром  
мост = кёпюр  
тоннель = тоннель  
эстакада = эстакада  
развязка = развязка  
светофор = светофор  
знак = белги  
остановка = остановка  
вокзал = вокзал
деньги = ачха  
рубль = сом  
доллар = доллар  
евро = евро  
банк = банк  
кредит = кредит  
депозит = депозит  
ипотека = ипотека  
страхование = страхование  
налог = налог  
бюджет = бюджет  
инфляция = инфляция  
дефляция = дефляция  
кризис = кризис  
рынок = базар  
биржа = биржа  
акция = акция  
облигация = облигация  
инвестиция = инвестиция  
прибыль = пайда
президент = президент  
премьер-министр = премьер-министр  
парламент = парламент  
правительство = правительство  
министерство = министерство  
департамент = департамент  
администрация = администрация  
муниципалитет = муниципалитет  
выборы = сайлау  
референдум = референдум  
конституция = конституция  
закон = закон  
указ = указ  
постановление = постановление  
гражданин = жаран  
паспорт = паспорт  
виза = виза  
таможня = таможня  
дипломатия = дипломатия  
международные отношения = халкъла арасы къарыу
космос = космос  
Вселенная = Бютеу Дуния  
галактика = галактика  
звезда = жулдуз  
планета = планета  
Солнце = Кюн  
Луна = Ай  
комета = комета  
астероид = астероид  
метеорит = метеорит  
чёрная дыра = къара тешик  
космонавт = космонавт  
ракета = ракета  
спутник = спутник  
орбита = орбита  
притяжение = тартыу  
невесомость = агъырсызлыкъ  
скафандр = скафандр  
космический корабль = космос кеме  
МКС = МКС
 Природа и стихии
рассвет = таң 
закат = кюн батуу 
туман = туман 
иней = къырау 
гололёд = къар буз 
изморозь = къырау 
град = борош 
радуга = эмеген 
молния = чагъын 
гром = къарыу 
вихрь = буркун 
землетрясение = джер титиреу 
наводнение = суу басуу 
засуха = къуруу 
тайфун = тайфун 
цунами = цунами 

 Сельское хозяйство (дополнение)
жатва = орукъ 
молотилка = урукъ 
веялка = елгич 
силосная яма = силос чукул 
комбикорм = къош аш 
навоз = тезек 
перегной = чыгъыл 
парник = жылы юй 
тракторист = тракторчу 
чабан = чабан 
подкова = нал 
ярмо = боғана 
борозда = сёз 
межа = чек 
сеновал = чабыу юй 

 Медицина (углублённо)
бинтование = бинтлеу 
перевязка = джара бау 
гипсование = гипслеу 
инвалидность = сакъатлыкъ 
дезинфекция = дезинфекция 
эпидемия = ауруу тарау 
вакцинация = вакцинация 
анестезия = анестезия 
шов = тигиу 
переливание крови = къан ауушдуруу 
кардиограмма = кардиограмма 
гипертония = къан басым 
аллергия = аллергия 
перелом = сынуу 
вывих = чыгъыу 
ушиб = кёкюреу 
ожог = кюйюу 
обморожение = тонуу 
сотрясение = мий титиреу 
инсульт = инсульт 

 Техника и инструменты
дрель = дрель 
паяльник = паяльник 
отвёртка = отвёртка 
гаечный ключ = гаечный ключ 
плоскогубцы = къысгъыч 
напильник = эгеч 
рулетка = рулетка 
уровень = уровень 
перфоратор = перфоратор 
болгарка = болгарка 
компрессор = компрессор 
генератор = генератор 
трансформатор = трансформатор 
микросхема = микросхема 
процессор = процессор 
жёсткий диск = къатъы диск 
винчестер = винчестер 
роутер = роутер 
модем = модем 
антенна = антенна 
динамо-машина = динамо

 Кулинария (дополнение)
мацони = гатыкъ 
айран = айран 
курзе = хычин 
хычин = хычин 
чучук = чучук 
шашлык = шашлык 
люля-кебаб = люля-кебаб 
плов = аш 
халва = халва 
пахлава = пахлава 
чёрный перец = къара бурч 
красный перец = къызыл бурч 
лавровый лист = лавр джапыракъ 
корица = дарчын 
гвоздика = гвоздика 
имбирь = имбирь 
шафран = шафран 
ваниль = ваниль 
мускатный орех = мускат 
кардамон = кардамон

 Религия и традиции
мечеть = мечит 
мулла = мулла 
имам = имам 
хаджи = хаджи 
намаз = намаз 
ураза = ораза 
курбан-байрам = курман 
мавлид = маулид 
дуа = догу 
талисман = тумар 
оберег = къоругъа 
тотем = тотем 
обычай = адет 
традиция = салт 
гостеприимство = къонакъчылыкъ 
куначество = къунакълыкъ 
побратимство = къарнашлыкъ 
кровная месть = къанлы уруш 
примирение = атыш 
благословение = алгъыш

 Военное дело
сабля = къылыч 
кинжал = ханжар 
лук = жаа 
стрела = окъ 
кольчуга = къалчан 
шлем = мисюрке 
щит = къалкан 
порох = барт 
ружьё = мылтыкъ 
пистолет = тапанча 
пуля = окъ 
патрон = патрон 
граната = граната 
мина = мина 
танк = танк 
бронетранспортёр = БТР 
вертолёт = вертолёт 
десант = десант 
разведка = разведка 
партизан = партизан

 Музыка и искусство
гармонь = гармун 
баян = баян 
скрипка = скрипка 
гитара = гитара 
барабан = барабан 
бубен = даппу 
свирель = свирель 
жалейка = жалейка 
хоровод = хоровод 
лезгинка = лезгинка 
сказитель = жырчы 
сказка = эпос 
легенда = легенда 
предание = сагъыш 
орнамент = орнамент 
узор = накъыш 
вышивка = тикме 
ковроткачество = килемчилик 
резьба по дереву = терек оюу 
чеканка = чеканка

 Наука и образование
университет = университет 
институт = институт 
академия = академия 
лаборатория = лаборатория 
эксперимент = эксперимент 
гипотеза = гипотеза 
теория = теория 
практика = практика 
лекция = лекция 
семинар = семинар 
диссертация = диссертация 
учёная степень = илий даража 
профессор = профессор 
доцент = доцент 
аспирант = аспирант 
студент = студент 
школьник = школьник 
учебник = окъуу китап 
тетрадь = дефтер 
мел = бор

 Спорт и игры
футбол = футбол 
баскетбол = баскетбол 
волейбол = волейбол 
хоккей = хоккей 
шахматы = шахмат 
шашки = шашка 
борьба = кюреш 
дзюдо = дзюдо 
карате = карате 
бокс = бокс 
бег = чабыу 
прыжки = секириу 
метание = атма 
плавание = джууу 
лыжи = лыжа 
коньки = коньки 
велосипед = велосипед 
альпинизм = альпинизм 
скалолазание = къаячылыкъ 
парашютный спорт = парашют спорт

 Транспорт и инфраструктура
автомобиль = автомобиль 
автобус = автобус 
троллейбус = троллейбус 
трамвай = трамвай 
метро = метро 
поезд = поезд 
электричка = электричка 
самолёт = самолёт 
вертолёт = вертолёт 
корабль = кеме 
лодка = къайыкъ 
паром = паром 
мост = кёпюр 
тоннель = тоннель 
эстакада = эстакада 
развязка = развязка 
светофор = светофор 
знак = белги 
остановка = остановка 
вокзал = вокзал

 Экономика и финансы
деньги = ачха 
рубль = сом 
доллар = доллар 
евро = евро 
банк = банк 
кредит = кредит 
депозит = депозит 
ипотека = ипотека 
страхование = страхование 
налог = налог 
бюджет = бюджет 
инфляция = инфляция 
дефляция = дефляция 
кризис = кризис 
рынок = базар 
биржа = биржа 
акция = акция 
облигация = облигация 
инвестиция = инвестиция 
прибыль = пайда

 Политика и государство
президент = президент 
премьер-министр = премьер-министр 
парламент = парламент 
правительство = правительство 
министерство = министерство 
департамент = департамент 
администрация = администрация 
муниципалитет = муниципалитет 
выборы = сайлау 
референдум = референдум 
конституция = конституция 
закон = закон 
указ = указ 
постановление = постановление 
гражданин = жаран 
паспорт = паспорт 
виза = виза 
таможня = таможня 
дипломатия = дипломатия 
международные отношения = халкъла арасы къарыу

 Космос и астрономия
космос = космос 
Вселенная = Бютеу Дуния 
галактика = галактика 
звезда = жулдуз 
планета = планета 
Солнце = Кюн 
Луна = Ай 
комета = комета 
астероид = астероид 
метеорит = метеорит 
чёрная дыра = къара тешик 
космонавт = космонавт 
ракета = ракета 
спутник = спутник 
орбита = орбита 
притяжение = тартыу 
невесомость = агъырсызлыкъ 
скафандр = скафандр 
космический корабль = космос кеме 
МКС = МКС

 IT и технологии
компьютер = компьютер 
ноутбук = ноутбук 
планшет = планшет 
смартфон = смартфон 
интернет = интернет 
сайт = сайт 
блог = блог 
соцсеть = соцсеть 
мессенджер = мессенджер 
хостинг = хостинг 
домен = домен 
программирование = программалау 
алгоритм = алгоритм 
искусственный интеллект = жасалма интеллект 
нейросеть = нейросеть 
кибербезопасность = киберкоопсузлукъ 
вирус = вирус 
антивирус = антивирус 
база данных = белгилер база 
облачные технологии = булут технология 

 Дополнительные категории
 Строительство
кран = кран 
бетономешалка = бетон къайнагъыч 
леса = леса 
кирпич = керипч 
бетон = бетон 
цемент = цемент 
песок = къум 
щебень = чакъмакъ 
арматура = арматура 
фундамент = темёл 

 Одежда (дополнение)
пальто = тон 
куртка = къаптал 
плащ = ямырлыкъ 
жилет = жилет 
футболка = футболка 
свитер = свитер 
шарф = шарф 
перчатки = колчакъ 
варежки = колчакъ 
зонт = ямырлыкъ 

 Рыбалка и охота
удочка = балыкъ чалгъыч 
сеть = тор 
гарпун = гарпун 
ловушка = тузакъ 
капкан = къапкъан 
приманка = чалгъы 
ружьё = мылтыкъ 
патронташ = окълукъ 
подсадная утка = чалгъы өрдек 
манок = манок 

 Ремёсла
гончарное дело = къумаччылыкъ 
кузнечное дело = демирчилик 
ткачество = токъуучулукъ 
вышивание = тикмечилик 
резьба по дереву = терек оюу 
чеканка = чеканка 
ювелирное дело = зергерлик 
шитьё = тикиу 
вязание = ёрюу 
плетение = ёрюу 

 Эмоции и состояния
счастье = сютюу 
горе = къайгъы 
злость = ачуу 
спокойствие = тынчлыкъ 
усталость = чалгъанлыкъ 
бодрость = сергилик 
страх = къоркъуу 
удивление = таңыу 
стыд = уят 
гордость = махтанчлыкъ 

 Математика
число = сан 
цифра = цифра 
сложение = къошуу 
вычитание = азайтуу 
умножение = кёбейтуу 
деление = бёлюу 
дробь = бёлюк 
процент = ючюн 
геометрия = геометрия 
алгебра = алгебра 

 Химия
элемент = элемент 
молекула = молекула 
атом = атом 
реакция = реакция 
кислота = кислота 
щелочь = щелочь 
металл = металл 
газ = газ 
жидкость = суюкълукъ 
твёрдое тело = къатъы зат 

 Физика
сила = кюч 
скорость = тезлик 
ускорение = тезлендириу 
энергия = энергия 
масса = масса 
давление = басым 
тепло = жылылыкъ 
свет = джарыкъ 
звук = таууш 
электричество = электричество 

 Биология
клетка = клетка 
организм = организм 
растение = ёсюмлюк 
животное = хайуан 
бактерия = бактерия 
вирус = вирус 
ген = ген 
ДНК = ДНК 
эволюция = эволюция 
экосистема = экосистема 

 География
материк = материк 
океан = океан 
море = денгиз 
озеро = кёл 
река = черек 
гора = тау 
равнина = тюз 
пустыня = чёл 
лес = орман 
остров = арыл 

 История
эпоха = эпоха 
цивилизация = цивилизация 
война = уруш 
революция = революция 
империя = империя 
королевство = королевство 
республика = республика 
демократия = демократия 
феодализм = феодализм 
рабство = къуллукъ 

 Литература
роман = роман 
поэма = поэма 
стих = джыр 
проза = проза 
драма = драма 
комедия = комедия 
трагедия = трагедия 
сказка = эпос 
легенда = легенда 
миф = миф 

 Театр и кино
сцена = сцена 
занавес = перде 
актёр = актёр 
режиссёр = режиссёр 
спектакль = спектакль 
фильм = кино 
мультфильм = мультфильм 
документальный = документальный 
фантастика = фантастика 
ужасы = къоркъуу 

 Музыка
нота = нота 
аккорд = аккорд 
мелодия = мелодия 
ритм = ритм 
гармония = гармония 
оркестр = оркестр 
хор = хор 
солист = солист 
концерт = концерт 
репетиция = репетиция 

 Танцы
хоровод = хоровод 
лезгинка = лезгинка 
вальс = вальс 
танго = танго 
самба = самба 
румба = румба 
ча-ча-ча = ча-ча-ча 
брейк-данс = брейк-данс 
